Date,Mkt,Rf,Rm-Rf,S,B,SMB,H,L,HML,U,D,UMD,S-Rf,B-Rf,H-Rf,L-Rf,U-Rf,D-Rf
193203,-0.1087,0.0016,-0.1103,-0.1122,-0.133,0.0208,-0.129,-0.11685,-0.01215,-0.06985,-0.17735,0.1075,-0.1147,-0.1355,-0.1315,-0.11935,-0.07235,-0.17985
193204,-0.1792,0.0011,-0.1803,-0.180433333,-0.193366667,0.012933333,-0.1967,-0.18935,-0.00735,-0.14685,-0.2176,0.07075,-0.182933333,-0.195866667,-0.1992,-0.19185,-0.14935,-0.2201
193205,-0.2075,0.0006,-0.2081,-0.1871,-0.2395,0.0524,-0.2148,-0.1821,-0.0327,-0.18015,-0.3107,0.13055,-0.1896,-0.242,-0.2173,-0.1846,-0.18265,-0.3132
193206,-0.0051,0.0002,-0.0053,0.016533333,0.035466667,-0.018933333,0.07035,-0.003,0.07335,0.05585,0.0178,0.03805,0.014033333,0.032966667,0.06785,-0.0055,0.05335,0.0153
193207,0.3375,0.0003,0.3372,0.418766667,0.491233333,-0.072466667,0.6528,0.29335,0.35945,0.2233,0.67175,-0.44845,0.416266667,0.488733333,0.6503,0.29085,0.2208,0.66925
193208,0.366,0.0003,0.3657,0.665466667,0.4723,0.193166667,0.7091,0.45715,0.25195,0.33035,0.83665,-0.5063,0.662966667,0.4698,0.7066,0.45465,0.32785,0.83415
193209,-0.0309,0.0003,-0.0312,-0.068566667,-0.044266667,-0.0243,-0.0897,-0.01985,-0.06985,-0.06145,-0.0763,0.01485,-0.071066667,-0.046766667,-0.0922,-0.02235,-0.06395,-0.0788
193210,-0.1312,0.0002,-0.1314,-0.198366667,-0.171533333,-0.026833333,-0.23385,-0.13285,-0.101,-0.1396,-0.1827,0.0431,-0.200866667,-0.174033333,-0.23635,-0.13535,-0.1421,-0.1852
193211,-0.0557,0.0002,-0.0559,-0.0762,-0.092433333,0.016233333,-0.14845,-0.02415,-0.1243,-0.098,-0.0695,-0.0285,-0.0787,-0.094933333,-0.15095,-0.02665,-0.1005,-0.072
193212,0.0458,0.0001,0.0457,-0.086466667,0.013366667,-0.099833333,-0.07545,-0.00565,-0.0698,0.00725,-0.04275,0.05,-0.088966667,0.010866667,-0.07795,-0.00815,0.00475,-0.04525
193301,0.0098,0.0001,0.0097,0.038266667,0.0418,-0.003533333,0.08655,0.00715,0.0794,0.0164,0.02315,-0.00675,0.035766667,0.0393,0.08405,0.00465,0.0139,0.02065
193302,-0.1503,-0.0003,-0.15,-0.144733333,-0.1333,-0.011433333,-0.13875,-0.14995,0.0112,-0.1458,-0.1906,0.0448,-0.147233333,-0.1358,-0.14125,-0.15245,-0.1483,-0.1931
193303,0.034,0.0004,0.0336,0.048866667,0.026033333,0.022833333,0.0495,0.03045,0.01905,0.10805,0.07795,0.0301,0.046366667,0.023533333,0.047,0.02795,0.10555,0.07545
193304,0.3837,0.001,0.3827,0.516066667,0.4708,0.045266667,0.57035,0.3868,0.18355,0.4036,0.55845,-0.15485,0.513566667,0.4683,0.56785,0.3843,0.4011,0.55595
193305,0.2119,0.0004,0.2115,0.662033333,0.285766667,0.376266667,0.56305,0.40775,0.1553,0.4214,0.47585,-0.05445,0.659533333,0.283266667,0.56055,0.40525,0.4189,0.47335
193306,0.1344,0.0002,0.1342,0.246266667,0.163933333,0.082333333,0.1932,0.22285,-0.02965,0.1941,0.16285,0.03125,0.243766667,0.161433333,0.1907,0.22035,0.1916,0.16035
193307,-0.0961,0.0002,-0.0963,-0.106633333,-0.1033,-0.003333333,-0.0897,-0.10215,0.01245,-0.0937,-0.09905,0.00535,-0.109133333,-0.1058,-0.0922,-0.10465,-0.0962,-0.10155
193308,0.1213,0.0003,0.121,0.094466667,0.148833333,-0.054366667,0.1336,0.0993,0.0343,0.1524,0.0801,0.0723,0.091966667,0.146333333,0.1311,0.0968,0.1499,0.0776
193309,-0.1047,0.0002,-0.1049,-0.1393,-0.1395,0.0002,-0.20945,-0.07695,-0.1325,-0.13265,-0.1495,0.01685,-0.1418,-0.142,-0.21195,-0.07945,-0.13515,-0.152
193310,-0.0832,0.0001,-0.0833,-0.1142,-0.1144,0.0002,-0.1571,-0.07535,-0.08175,-0.1165,-0.09195,-0.02455,-0.1167,-0.1169,-0.1596,-0.07785,-0.119,-0.09445
193311,0.0999,0.0002,0.0997,0.0535,0.116033333,-0.062533333,0.09045,0.0788,0.01165,0.11015,0.05005,0.0601,0.051,0.113533333,0.08795,0.0763,0.10765,0.04755
193312,0.02,0.0002,0.0198,0.0244,0.026866667,-0.002466667,0.0165,0.03245,-0.01595,0.03975,0.00725,0.0325,0.0219,0.024366667,0.014,0.02995,0.03725,0.00475
193401,0.1298,0.0005,0.1293,0.294833333,0.172933333,0.1219,0.32005,0.14985,0.1702,0.2272,0.262,-0.0348,0.292333333,0.170433333,0.31755,0.14735,0.2247,0.2595
193402,-0.0233,0.0002,-0.0235,0.022066667,-0.0308,0.052866667,0.00825,-0.0105,0.01875,-0.00425,0.00245,-0.0067,0.019566667,-0.0333,0.00575,-0.013,-0.00675,-5E-05
193403,0.0048,0.0002,0.0046,0.020666667,-0.003533333,0.0242,-0.00575,0.0234,-0.02915,0.0043,0.015,-0.0107,0.018166667,-0.006033333,-0.00825,0.0209,0.0018,0.0125
193404,-0.0179,0.0001,-0.018,0.0018,-0.0276,0.0294,-0.0342,0.0147,-0.0489,-0.03515,0.0165,-0.05165,-0.0007,-0.0301,-0.0367,0.0122,-0.03765,0.014
193405,-0.071,0.0001,-0.0711,-0.097933333,-0.0969,-0.001033333,-0.1375,-0.06385,-0.07365,-0.10665,-0.0733,-0.03335,-0.100433333,-0.0994,-0.14,-0.06635,-0.10915,-0.0758
193406,0.0252,0.0001,0.0251,0.001466667,0.027033333,-0.025566667,0.00395,0.0275,-0.02355,0.00105,0.00355,-0.0025,-0.001033333,0.024533333,0.00145,0.025,-0.00145,0.00105
193407,-0.1082,0.0001,-0.1083,-0.2143,-0.153433333,-0.060866667,-0.25345,-0.13415,-0.1193,-0.1289,-0.2175,0.0886,-0.2168,-0.155933333,-0.25595,-0.13665,-0.1314,-0.22
193408,0.0596,0.0001,0.0595,0.105933333,0.0623,0.043633333,0.101,0.0861,0.0149,0.1044,0.07455,0.02985,0.103433333,0.0598,0.0985,0.0836,0.1019,0.07205
193409,-0.003,0.0001,-0.0031,-0.020666667,-0.001266667,-0.0194,-0.01835,-0.01475,-0.0036,-0.0041,-0.00345,-0.00065,-0.023166667,-0.003766667,-0.02085,-0.01725,-0.0066,-0.00595
193410,-0.0193,0.0001,-0.0194,-0.0196,-0.037466667,0.017866667,-0.0523,-0.01115,-0.04115,0.0097,-0.05615,0.06585,-0.0221,-0.039966667,-0.0548,-0.01365,0.0072,-0.05865
193411,0.0841,0.0001,0.084,0.1568,0.081866667,0.074933333,0.10015,0.15555,-0.0554,0.13715,0.08745,0.0497,0.1543,0.079366667,0.09765,0.15305,0.13465,0.08495
193412,0.0039,0.0001,0.0038,0.024966667,-0.0039,0.028866667,-0.00495,0.02575,-0.0307,0.03665,-0.0131,0.04975,0.022466667,-0.0064,-0.00745,0.02325,0.03415,-0.0156
193501,-0.0328,0.0001,-0.0329,-0.042933333,-0.053266667,0.010333333,-0.06915,-0.0458,-0.02335,-0.02645,-0.0605,0.03405,-0.045433333,-0.055766667,-0.07165,-0.0483,-0.02895,-0.063
193502,-0.0186,0.0002,-0.0188,-0.052033333,-0.0553,0.003266667,-0.09885,-0.027,-0.07185,0.0071,-0.1285,0.1356,-0.054533333,-0.0578,-0.10135,-0.0295,0.0046,-0.131
193503,-0.037,0.0001,-0.0371,-0.081866667,-0.046,-0.035866667,-0.09255,-0.04325,-0.0493,-0.0527,-0.0756,0.0229,-0.084366667,-0.0485,-0.09505,-0.04575,-0.0552,-0.0781
193504,0.0892,0.0001,0.0891,0.089333333,0.105166667,-0.015833333,0.1223,0.07565,0.04665,0.08235,0.13025,-0.0479,0.086833333,0.102666667,0.1198,0.07315,0.07985,0.12775
193505,0.0348,0.0001,0.0347,0.001033333,0.040933333,-0.0399,0.0247,0.0068,0.0179,0.02445,0.0637,-0.03925,-0.001466667,0.038433333,0.0222,0.0043,0.02195,0.0612
193506,0.0553,0.0001,0.0552,0.040766667,0.068,-0.027233333,0.04735,0.04895,-0.0016,0.071,0.03955,0.03145,0.038266667,0.0655,0.04485,0.04645,0.0685,0.03705
193507,0.0736,0.0001,0.0735,0.128666667,0.101166667,0.0275,0.15055,0.0953,0.05525,0.0901,0.1368,-0.0467,0.126166667,0.098666667,0.14805,0.0928,0.0876,0.1343
193508,0.0261,0.0001,0.026,0.096833333,0.026233333,0.0706,0.08655,0.0415,0.04505,0.0386,0.12205,-0.08345,0.094333333,0.023733333,0.08405,0.039,0.0361,0.11955
193509,0.0259,0.0001,0.0258,0.0318,0.0232,0.0086,0.00545,0.0479,-0.04245,0.0677,-0.01895,0.08665,0.0293,0.0207,0.00295,0.0454,0.0652,-0.02145
193510,0.0713,0.0001,0.0712,0.091133333,0.068533333,0.0226,0.072,0.0744,-0.0024,0.09315,0.0704,0.02275,0.088633333,0.066033333,0.0695,0.0719,0.09065,0.0679
193511,0.0519,0.0002,0.0517,0.133566667,0.076666667,0.0569,0.16915,0.0636,0.10555,0.07495,0.12725,-0.0523,0.131066667,0.074166667,0.16665,0.0611,0.07245,0.12475
193512,0.0461,0.0001,0.046,0.067366667,0.0583,0.009066667,0.05865,0.0558,0.00285,0.07645,0.04065,0.0358,0.064866667,0.0558,0.05615,0.0533,0.07395,0.03815
